datahora,riscofogo
2013-12-31,4962.0
2014-01-15,4822.0
2014-01-31,4806.0
2014-02-15,2223.0
2014-02-28,3436.0
2014-03-15,2806.0
2014-03-31,2594.0
2014-04-15,1920.0
2014-04-30,4678.0
2014-05-15,6707.0
2014-05-31,15958.0
2014-06-15,23811.0
2014-06-30,38980.0
2014-07-15,47307.0
2014-07-31,102459.0
2014-08-15,248238.0
2014-08-31,175921.0
2014-09-15,169634.0
2014-09-30,172129.0
2014-10-15,143604.0
2014-10-31,39431.0
2014-11-15,31182.0
2014-11-30,23646.0
2014-12-15,14370.0
2014-12-31,5257.0
2015-01-15,4665.0
2015-01-31,3498.0
2015-02-15,1811.0
2015-02-28,1442.0
2015-03-15,1793.0
2015-03-31,2749.0
2015-04-15,1379.0
2015-04-30,974.0
2015-05-15,2654.0
2015-05-31,6017.0
2015-06-15,12685.0
2015-06-30,10789.0
2015-07-15,24740.0
2015-07-31,65305.0
2015-08-15,106606.0
2015-08-31,132638.0
2015-09-15,183626.0
2015-09-30,134095.0
2015-10-15,154343.0
2015-10-31,59348.0
2015-11-15,53229.0
2015-11-30,56377.0
2015-12-15,28175.0
2015-12-31,16100.0
2016-01-15,28590.0
2016-01-31,6416.0
2016-02-15,8248.0
2016-02-29,12483.0
2016-03-15,16410.0
2016-03-31,4719.0
2016-04-15,8303.0
2016-04-30,7966.0
2016-05-15,10151.0
2016-05-31,12664.0
2016-06-15,24703.0
2016-06-30,45988.0
2016-07-15,91566.0
2016-07-31,164564.0
2016-08-15,160531.0
2016-08-31,230429.0
2016-09-15,95478.0
2016-09-30,73368.0
2016-10-15,83981.0
2016-10-31,45369.0
2016-11-15,30951.0
2016-11-30,33891.0
2016-12-15,4437.0
2016-12-31,6507.0
2017-01-15,5026.0
2017-01-31,3335.0
2017-02-15,2004.0
2017-02-28,1945.0
2017-03-15,1534.0
2017-03-31,1312.0
2017-04-15,1705.0
2017-04-30,5411.0
2017-05-15,5564.0
2017-05-31,12616.0
2017-06-15,20031.0
2017-06-30,38091.0
2017-07-15,87015.0
2017-07-31,136536.0
2017-08-15,164144.0
2017-08-31,458846.0
2017-09-15,451911.0
2017-09-30,182710.0
2017-10-15,179469.0
2017-10-31,39992.0
2017-11-15,46848.0
2017-11-30,54362.0
2017-12-15,6047.0
2017-12-31,3406.0
2018-01-15,3579.0
2018-01-31,6809.0
2018-02-15,3327.0
2018-02-28,2851.0
2018-03-15,5062.0
2018-03-31,4759.0
2018-04-15,2772.0
2018-04-30,5967.0
2018-05-15,8213.0
2018-05-31,14898.0
2018-06-15,27981.0
2018-06-30,38065.0
2018-07-15,68361.0
2018-07-31,55446.0
2018-08-15,89247.0
2018-08-31,160157.0
2018-09-15,131630.0
2018-09-30,100734.0
2018-10-15,53221.0
2018-10-31,32727.0
2018-11-15,33808.0
2018-11-30,3834.0
2018-12-15,5765.0
2018-12-31,7520.0
2019-01-15,9523.0
2019-01-31,8588.0
2019-02-15,15193.0
2019-02-28,31497.0
2019-03-15,65310.0
2019-03-31,25123.0
2019-04-15,5934.0
2019-04-30,4585.0
2019-05-15,7160.0
2019-05-31,19244.0
2019-06-15,35742.0
2019-06-30,37051.0
2019-07-15,65336.0
2019-07-31,341400.0
2019-08-15,380870.0
2019-08-31,458997.0
2019-09-15,392379.0
2019-09-30,147045.0
2019-10-15,134650.0
2019-10-31,100906.0
2019-11-15,38455.0
2019-11-30,35242.0
2019-12-15,22305.0
2019-12-31,3645.0
2020-01-15,5435.0
2020-01-31,5256.0
2020-02-15,4256.0
2020-02-29,8573.0
2020-03-15,3550.0
2020-03-31,2874.0
2020-04-15,8256.0
2020-04-30,5420.0
2020-05-15,6545.0
2020-05-31,13884.0
2020-06-15,32359.0
2020-06-30,42126.0
2020-07-15,88022.0
2020-07-31,241910.0
2020-08-15,401576.0
2020-08-31,848327.0
2020-09-15,391454.0
2020-09-30,431737.0
2020-10-15,137467.0
2020-10-31,36744.0
2020-11-15,22783.0
