,bioma,riscofogo,precipitacao
2014-01-01,Amazonia,436.0,0.4631799163179923
2014-01-02,Amazonia,337.0,2.3450950570342153
2014-01-03,Amazonia,262.0,1.6882882882882861
2014-01-04,Amazonia,119.0,0.7549933422103875
2014-01-05,Amazonia,308.0,1.0626839826839798
2014-01-06,Amazonia,92.0,2.0622574955908246
2014-01-07,Amazonia,50.0,2.7296089385474858
2014-01-08,Amazonia,178.0,4.876106194690266
2014-01-09,Amazonia,68.0,3.124152542372881
2014-01-10,Amazonia,83.0,2.4602510460251055
2014-01-11,Amazonia,45.0,2.621739130434783
2014-01-12,Amazonia,12.0,3.9231404958677705
2014-01-13,Amazonia,60.0,2.3021897810218976
2014-01-14,Amazonia,53.0,2.922932330827068
2014-01-15,Amazonia,16.0,3.4968354430379756
2014-01-16,Amazonia,10.0,1.8006369426751596
2014-01-17,Amazonia,59.0,3.299792531120332
2014-01-18,Amazonia,19.0,1.8246913580246915
2014-01-19,Amazonia,140.0,0.8086124401913889
2014-01-20,Amazonia,117.0,1.5029629629629642
2014-01-21,Amazonia,251.0,0.40256916996047415
2014-01-22,Amazonia,302.0,0.22749419953596278
2014-01-23,Amazonia,89.0,2.5040885860306616
2014-01-24,Amazonia,349.0,1.1344827586206891
2014-01-25,Amazonia,144.0,0.8011961722488037
2014-01-26,Amazonia,95.0,0.7095709570957082
2014-01-27,Amazonia,68.0,0.39999999999999963
2014-01-28,Amazonia,119.0,0.16163522012578624
2014-01-29,Amazonia,44.0,0.9904999999999995
2014-01-30,Amazonia,117.0,0.5620588235294113
2014-01-31,Amazonia,55.0,1.648648648648649
2014-02-01,Amazonia,9.0,11.596052631578948
2014-02-02,Amazonia,11.0,6.579729729729732
2014-02-03,Amazonia,33.0,1.742758620689654
2014-02-04,Amazonia,27.0,1.8283687943262403
2014-02-05,Amazonia,79.0,3.037158469945355
2014-02-06,Amazonia,48.0,12.903731343283585
2014-02-07,Amazonia,0.0,5.4714285714285715
2014-02-08,Amazonia,0.0,3.7612244897959184
2014-02-09,Amazonia,42.0,2.5404761904761917
2014-02-10,Amazonia,31.0,3.557746478873239
2014-02-11,Amazonia,6.0,12.96774193548387
2014-02-12,Amazonia,26.0,0.44418604651162785
2014-02-13,Amazonia,50.0,0.21346153846153854
2014-02-14,Amazonia,62.0,0.6281368821292773
2014-02-15,Amazonia,106.0,0.8461538461538461
2014-02-16,Amazonia,49.0,1.3916167664670658
2014-02-17,Amazonia,42.0,0.5580645161290324
2014-02-18,Amazonia,229.0,0.3436332767402376
2014-02-19,Amazonia,193.0,0.16745027124773942
2014-02-20,Amazonia,284.0,0.31417004048582997
2014-02-21,Amazonia,33.0,0.9603960396039607
2014-02-22,Amazonia,20.0,4.1454545454545455
2014-02-23,Amazonia,36.0,0.6563829787234043
