,bioma,riscofogo,precipitacao
2016-01-01,Amazonia,102.0,2.3224852071005917
2016-01-02,Amazonia,296.0,1.5999999999999979
2016-01-03,Amazonia,292.0,1.4071661237785054
2016-01-04,Amazonia,699.0,1.56061120543293
2016-01-05,Amazonia,1023.0,1.1859028511087648
2016-01-06,Amazonia,711.0,0.7258706467661711
2016-01-07,Amazonia,772.0,1.1253706754530468
2016-01-08,Amazonia,503.0,1.0662227602905565
2016-01-09,Amazonia,2015.0,0.6417416452442155
2016-01-10,Amazonia,1550.0,0.8297863599013969
2016-01-11,Amazonia,925.0,0.5695087521174482
2016-01-12,Amazonia,1186.0,0.5087728194726191
2016-01-13,Amazonia,699.0,1.5786206896551673
2016-01-14,Amazonia,893.0,0.8469270166453243
2016-01-15,Amazonia,975.0,0.650972053462942
2016-01-16,Amazonia,814.0,0.9399055489964584
2016-01-17,Amazonia,1068.0,0.36901763224181566
2016-01-18,Amazonia,2063.0,0.24843170320404834
2016-01-19,Amazonia,897.0,0.9091997008227342
2016-01-20,Amazonia,466.0,2.0477115117891813
2016-01-21,Amazonia,1668.0,0.12189995796553132
2016-01-22,Amazonia,1534.0,0.2304461942257222
2016-01-23,Amazonia,2643.0,0.1587562334995604
2016-01-24,Amazonia,2630.0,0.09028268551236764
2016-01-25,Amazonia,2871.0,0.7279164775306302
2016-01-26,Amazonia,2134.0,1.2251482799525504
2016-01-27,Amazonia,1263.0,0.1414685314685314
2016-01-28,Amazonia,2664.0,0.12102888086642635
2016-01-29,Amazonia,1044.0,0.5596456692913385
2016-01-30,Amazonia,3391.0,0.08461538461538468
2016-01-31,Amazonia,1791.0,0.7125680356259281
2016-02-01,Amazonia,679.0,1.0516415261756913
2016-02-02,Amazonia,47.0,4.0906474820143846
2016-02-03,Amazonia,55.0,1.9305555555555547
2016-02-04,Amazonia,420.0,1.640031397174255
2016-02-05,Amazonia,117.0,4.242372881355929
2016-02-06,Amazonia,151.0,2.153883495145631
2016-02-07,Amazonia,118.0,1.3983364140480612
2016-02-08,Amazonia,208.0,0.9987623762376259
2016-02-09,Amazonia,561.0,0.9458382180539282
2016-02-10,Amazonia,75.0,2.622977022977017
2016-02-11,Amazonia,99.0,1.3749636098981088
2016-02-12,Amazonia,57.0,1.6167962674961125
2016-02-13,Amazonia,139.0,0.9807283763277712
2016-02-14,Amazonia,422.0,0.7161616161616184
2016-02-15,Amazonia,702.0,0.6006666666666685
2016-02-16,Amazonia,565.0,0.2383545770567781
2016-02-17,Amazonia,1047.0,0.340241691842901
2016-02-18,Amazonia,1294.0,0.3900232018561491
2016-02-19,Amazonia,741.0,1.3935103244837783
